PostedDate,PropertyName,CategoryType,PropertyType,City,State,Furnishing,BuiltUpSize,AgeofProperty,RentalDeposit,NoOfBedroom,NoOfBathroom,NoOfParking,RentalPerMth,Facilities,OtherFacilities,SourceUrl
2018-08-01,"Saville The Park Bangsar, P/Furnished",Apartments,Condo / Services residence / Penthouse / Townhouse,Bangsar South,Kuala Lumpur,Partially Furnished,1019.0,,,3,2,,2100.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",https://www.mudah.my/Saville+The+Park+Bangsar+P+Furnished-67711506.htm
2018-08-01,"Residensi Pandanmas, Kitchen Cabinet, Desa Pandan, Tesco Ampang, KL",Apartments,Condo / Services residence / Penthouse / Townhouse,Desa Pandan,Kuala Lumpur,Partially Furnished,900.0,,,3,2,,1300.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",,https://www.mudah.my/Residensi+Pandanmas+Kitchen+Cabinet+Desa+Pandan+Tesco+Ampang+KL-64329455.htm
2018-08-01,"Residensi Pandanmas, Ampang Tesco, Desa Pandan, Kg Pandan, KLCC",Apartments,Condo / Services residence / Penthouse / Townhouse,Desa Pandan,Kuala Lumpur,Not Furnished,900.0,,,3,2,,1200.0,"Swimming Pool, Gymnasium, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Cooking Allowed, Near KTM/LRT, Internet",https://www.mudah.my/Residensi+Pandanmas+Ampang+Tesco+Desa+Pandan+Kg+Pandan+KLCC-61722083.htm
2018-08-01,Eco Sky Jalan Ipoh,Apartments,Condo / Services residence / Penthouse / Townhouse,Jalan Ipoh,Kuala Lumpur,Partially Furnished,936.0,,5600.0,2,2,,1600.0,,,https://www.mudah.my/Eco+Sky+Jalan+Ipoh+-67495984.htm
2018-08-01,Cheras Ria Apartment,Apartments,Apartment/ Flat,Cheras,Kuala Lumpur,Not Furnished,570.0,,1500.0,3,1,,600.0,"Mini Market, Playground, Jogging Track, Cable TV",Cooking Allowed,https://www.mudah.my/Cheras+Ria+Apartment-67119095.htm
2018-08-01,Condo Casa Kiara II For Rent In Mont Kiara,Apartments,Condo / Services residence / Penthouse / Townhouse,Mont Kiara,Kuala Lumpur,Partially Furnished,1500.0,,8000.0,3,2,,4200.0,"Swimming Pool, Gymnasium, Mini Market, Playground, 24 Hour Security, Balcony/Patio",,https://www.mudah.my/Condo+Casa+Kiara+II+For+Rent+In+Mont+Kiara-66025179.htm
2018-08-01,The Loft Zetapark Setapak Central Mall - Medium Room with Private Bath,Rooms,Condo / Services residence / Penthouse / Townhouse,Setapak,Kuala Lumpur,Partially Furnished,1400.0,,,,,,700.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/The+Loft+Zetapark+Setapak+Central+Mall+Medium+Room+with+Private+Bath-67796349.htm
2018-08-01,Taman melawati 3 storey shop opposite melawati centre point,Commercial Properties,Shop lot,Taman Melawati,Kuala Lumpur,,1650.0,,,,,,11000.0,,,https://www.mudah.my/Taman+melawati+3+storey+shop+opposite+melawati+centre+point-67984715.htm
2018-08-01,Kiara Residence 2 Fully Furnish Bukit Jalil LRT Awan Besar,Apartments,Condo / Services residence / Penthouse / Townhouse,Bukit Jalil,Kuala Lumpur,Fully Furnished,1490.0,,,4,3,2,2300.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/Kiara+Residence+2+Fully+Furnish+Bukit+Jalil+LRT+Awan+Besar-67709300.htm
2018-08-01,Condominium The Reach In Titiwangsa,Apartments,Condo / Services residence / Penthouse / Townhouse,Titiwangsa,Kuala Lumpur,Partially Furnished,1386.0,,5400.0,4,2,,2700.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, 24 Hour Security, Balcony/Patio, Cable TV",,https://www.mudah.my/Condominium+The+Reach+In+Titiwangsa-66057760.htm
2018-08-01,Rumah untuk disewa kemasukkan 1 ogos 2018 : keluarga muslim diutamakan,Apartments,Apartment/ Flat,Bukit Jalil,Kuala Lumpur,Partially Furnished,1200.0,,3200.0,3,2,1,1600.0,"24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT",https://www.mudah.my/Rumah+untuk+disewa+kemasukkan+1+ogos+2018+keluarga+muslim+diutamakan-67645094.htm
2018-08-01,Jalan Kuching Sri Putramas Condominum,Apartments,Condo / Services residence / Penthouse / Townhouse,Jalan Kuching,Kuala Lumpur,Fully Furnished,1050.0,,5600.0,3,2,1,1600.0,"Swimming Pool, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed",https://www.mudah.my/Jalan+Kuching+Sri+Putramas+Condominum-63118794.htm
2018-08-01,"Kl Traders Square, Setapak, Gombak, Wangsa Maju, Kl City for Rent",Apartments,Condo / Services residence / Penthouse / Townhouse,Setapak,Kuala Lumpur,Partially Furnished,940.0,,,4,2,,1400.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed",https://www.mudah.my/Kl+Traders+Square+Setapak+Gombak+Wangsa+Maju+Kl+City+for+Rent-67354938.htm
2018-08-01,The fennel sentul East (partly furnished )corner,Apartments,Condo / Services residence / Penthouse / Townhouse,Sentul,Kuala Lumpur,Partially Furnished,1554.0,1,2700.0,4,4,1,2700.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/The+fennel+sentul+East+partly+furnished+corner-63108063.htm
2018-08-01,Fully furnished Small Bedroom LRT Taman Melati Setapak,Rooms,Condo / Services residence / Penthouse / Townhouse,Setapak,Kuala Lumpur,Fully Furnished,1045.0,,1100.0,,,,550.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Cable TV","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/Fully+furnished+Small+Bedroom+LRT+Taman+Melati+Setapak-67378323.htm
2018-08-01,"Vista Komanwel C ,Bukit Jalil , F/F",Apartments,Condo / Services residence / Penthouse / Townhouse,Bukit Jalil,Kuala Lumpur,Fully Furnished,1200.0,,,3,2,1,2100.0,"Swimming Pool, Gymnasium, Mini Market, Playground, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/Vista+Komanwel+C+Bukit+Jalil+F+F-67892908.htm
2018-08-01,Hijauan Lumayan Sri Petaling 1035sq.ft 3R2B NEW UNIT MUST VIEW,Apartments,Apartment/ Flat,Sri Petaling,Kuala Lumpur,Not Furnished,1035.0,,4800.0,3,2,1,1100.0,"Swimming Pool, Gymnasium, Playground, 24 Hour Security, Balcony/Patio, Cable TV",Cooking Allowed,https://www.mudah.my/Hijauan+Lumayan+Sri+Petaling+1035sq+ft+3R2B+NEW+UNIT+MUST+VIEW-67984330.htm
2018-08-01,"P/F Condo,hukm,taman midah,cheras,kl",Apartments,Condo / Services residence / Penthouse / Townhouse,Cheras,Kuala Lumpur,Partially Furnished,850.0,10,2200.0,3,2,1,1100.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/P+F+Condo+hukm+taman+midah+cheras+kl-67923928.htm
2018-08-01,OUG Parklane Fully Furnished Actual Unit,Apartments,Condo / Services residence / Penthouse / Townhouse,Old Klang Road,Kuala Lumpur,Fully Furnished,950.0,,,3,2,1,1550.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/OUG+Parklane+Fully+Furnished+Actual+Unit-67872816.htm
2018-08-01,"Old Klang Road, OUG Parklane Service Apartment, HIGH FLOOR Windy Unit",Apartments,Condo / Services residence / Penthouse / Townhouse,Old Klang Road,Kuala Lumpur,Not Furnished,950.0,,,3,2,1,1150.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",Air-Cond,https://www.mudah.my/Old+Klang+Road+OUG+Parklane+Service+Apartment+HIGH+FLOOR+Windy+Unit-67438087.htm
2018-08-01,OUG Parklane Partially Furnished,Apartments,Apartment/ Flat,Old Klang Road,Kuala Lumpur,Partially Furnished,950.0,,,3,2,1,1200.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT",https://www.mudah.my/OUG+Parklane+Partially+Furnished-58853864.htm
2018-08-01,OUG Parklane Unfurnished Basic Unit,Apartments,Condo / Services residence / Penthouse / Townhouse,Old Klang Road,Kuala Lumpur,Not Furnished,950.0,,,3,2,1,1000.0,"Swimming Pool, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio",Near KTM/LRT,https://www.mudah.my/OUG+Parklane+Unfurnished+Basic+Unit-58604546.htm
2018-08-01,PV12 Condo Danau Kota Setapak,Apartments,Condo / Services residence / Penthouse / Townhouse,Setapak,Kuala Lumpur,Fully Furnished,1210.0,8,4000.0,3,2,2,1600.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/PV12+Condo+Danau+Kota+Setapak-67618758.htm
2018-08-01,"PANDANMAS 2, Semi Furnished, Tesco Ampang, Maluri",Apartments,Apartment/ Flat,KL City,Kuala Lumpur,Partially Furnished,900.0,,,3,2,,1380.0,"Swimming Pool, Gymnasium, Mini Market, Playground, 24 Hour Security, Cable TV","Air-Cond, Cooking Allowed, Washing Machine",https://www.mudah.my/PANDANMAS+2+Semi+Furnished+Tesco+Ampang+Maluri-67983898.htm
2018-08-01,The Petalz Old Klang Road Citizen Avantas (Brand New),Apartments,Condo / Services residence / Penthouse / Townhouse,Old Klang Road,Kuala Lumpur,Partially Furnished,935.0,,,3,2,2,2000.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/The+Petalz+Old+Klang+Road+Citizen+Avantas+Brand+New+-67856208.htm
2018-08-01,"CITIZEN,Old Klang Road for RENT.Partially Furnished 2R2B",Apartments,Condo / Services residence / Penthouse / Townhouse,Old Klang Road,Kuala Lumpur,Partially Furnished,852.0,1,4000.0,2,2,1,1600.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Washing Machine",https://www.mudah.my/CITIZEN+Old+Klang+Road+for+RENT+Partially+Furnished+2R2B-67756702.htm
2018-08-01,ParkHill residensi Bukit Jalil,Apartments,Condo / Services residence / Penthouse / Townhouse,Bukit Jalil,Kuala Lumpur,Fully Furnished,1100.0,,,3,2,1,2700.0,"Swimming Pool, Gymnasium, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/ParkHill+residensi+Bukit+Jalil-67522340.htm
2018-08-01,"Vista Angkasa Apartment, Jalan Kerinchi, Bangsar South, Kuala Lumpur",Apartments,Apartment/ Flat,Bangsar South,Kuala Lumpur,Partially Furnished,1000.0,,,4,2,2,2500.0,"Mini Market, Playground, 24 Hour Security, Balcony/Patio","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/Vista+Angkasa+Apartment+Jalan+Kerinchi+Bangsar+South+Kuala+Lumpur-67984056.htm
2018-08-01,Bukit Jalil Parkhill Residence New Condo,Apartments,Condo / Services residence / Penthouse / Townhouse,Bukit Jalil,Kuala Lumpur,Fully Furnished,1300.0,1,7000.0,4,2,2,2750.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",https://www.mudah.my/Bukit+Jalil+Parkhill+Residence+New+Condo-67551992.htm
2018-08-01,"Residensi Holmes, Bandar Tun Razak, bandar Sri Permaisuri, Cheras",Apartments,Condo / Services residence / Penthouse / Townhouse,Cheras,Kuala Lumpur,Not Furnished,1018.0,1,2800.0,3,2,2,1400.0,"Swimming Pool, Gymnasium, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",Cooking Allowed,https://www.mudah.my/Residensi+Holmes+Bandar+Tun+Razak+bandar+Sri+Permaisuri+Cheras-67851420.htm
2018-08-01,Bilik New Link 2 Bukit Jalil AC fully furnished with utils 15mins KL,Rooms,Condo / Services residence / Penthouse / Townhouse,Bukit Jalil,Kuala Lumpur,Fully Furnished,1000.0,,1050.0,,,,700.0,"Swimming Pool, Gymnasium, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/Bilik+New+Link+2+Bukit+Jalil+AC+fully+furnished+with+utils+15mins+KL-67690725.htm
2018-08-01,Kepong Baru 1 storey Terrace House,Houses,Single storey,Kepong,Kuala Lumpur,Partially Furnished,1200.0,,2600.0,3,2,,1300.0,24 Hour Security,Air-Cond,https://www.mudah.my/Kepong+Baru+1+storey+Terrace+House-67812281.htm
2018-08-01,"Master dan Medium bedroom,Tulip Apartment, LRT Cempaka",Rooms,Apartment / Flat,Pandan Indah,Kuala Lumpur,Fully Furnished,1.0,,350.0,,,,350.0,"24 Hour Security, Cable TV","Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/Master+dan+Medium+bedroom+Tulip+Apartment+LRT+Cempaka-57399983.htm
2018-08-01,Shoplot in PV128 2nd Floor in Wangsa Maju,Commercial Properties,Shop lot,Wangsa Maju,Kuala Lumpur,,1575.0,,,,,,2300.0,,"Near KTM/LRT, Washing Machine",https://www.mudah.my/Shoplot+in+PV128+2nd+Floor+in+Wangsa+Maju-67983692.htm
2018-08-01,"Sri Sentosa Apartment, Kuala Lumpur",Apartments,Apartment/ Flat,Old Klang Road,Kuala Lumpur,Not Furnished,890.0,,,3,2,1,1050.0,"Playground, 24 Hour Security",Cooking Allowed,https://www.mudah.my/Sri+Sentosa+Apartment+Kuala+Lumpur-67083102.htm
2018-08-01,Bilik Lelaki Sebelah LRT/MRT Maluri,Rooms,Apartment / Flat,Pandan Jaya,Kuala Lumpur,Partially Furnished,900.0,,240.0,,,1,220.0,,"Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/Bilik+Lelaki+Sebelah+LRT+MRT+Maluri-67671051.htm
2018-08-01,Bilik Lelaki dekat LRT Wangsa Maju_Rumah Teres,Rooms,Houses,Wangsa Maju,Kuala Lumpur,Partially Furnished,1000.0,,220.0,,,,220.0,,"Near KTM/LRT, Washing Machine",https://www.mudah.my/Bilik+Lelaki+dekat+LRT+Wangsa+Maju+Rumah+Teres-64242333.htm
2018-08-01,Desa Sentul Village,Apartments,Condo / Services residence / Penthouse / Townhouse,Sentul,Kuala Lumpur,Partially Furnished,948.0,1,,3,2,1,1600.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Cooking Allowed, Washing Machine",https://www.mudah.my/Desa+Sentul+Village-65325531.htm
2018-08-01,"Manor apartment, CHERAS maluri, Casa Ria LRT [2PARKING]",Apartments,Apartment/ Flat,Cheras,Kuala Lumpur,Partially Furnished,930.0,,,3,2,2,1500.0,"24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT",https://www.mudah.my/Manor+apartment+CHERAS+maluri+Casa+Ria+LRT+2PARKING+-66325449.htm
2018-08-01,Sunway Velocity V Residence 2 & Suite near Amaya Ikea Time Square Rent,Apartments,Condo / Services residence / Penthouse / Townhouse,Cheras,Kuala Lumpur,Fully Furnished,900.0,,,2,2,,3500.0,"Swimming Pool, Gymnasium, Squash Court, Mini Market, Playground, 24 Hour Security, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/Sunway+Velocity+V+Residence+2+Suite+near+Amaya+Ikea+Time+Square+Rent-66895558.htm
